Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
UAT1 - Remove Location Number column on EDP Schedule of Coverages Income Coverage Described Premises schedule,XXX-32761,208537,Done,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Requirements
UAT1 - don't require Programs and Application Limits on EDP Schedule of Coverages Scheduled Limit Described Premises schedule,XXX-32760,208536,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
UAT1 - Updates to EDP Schedule of Coverages Scheduled Limit Described Premises schedule,XXX-32759,208535,Ready for Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
IM-Rating-XXX-31396-To validate owners cargo Non reporting premium and Builders risk-Earth movement and flood premium premium,XXX-32758,208525,Done,XXX,ANIC P&C Migration,Very High,Peter,Rating,,Coding
Stab3_Integ_Prometrix-CPPCP- Protection class not defaulted  when updated the address1.,XXX-32737,208503,Cancelled,XXX,ANIC P&C Migration,High,Martin,Integrations,,Data
Stab 3_CC_CA_Weather field is displaying as Non mandatory field in loss details screen,XXX-32736,208501,Ready for QA,XXX,ANIC P&C Migration,Medium,Peter,ClaimCenter,,Coding
Stab3_Digital_PE-Bill Payment-ACH payment confirmation is not displayed,XXX-32735,208500,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Coding
PC_CU- Commission override upper limit UW issue,XXX-32733,208491,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Risk PC Table - Policies missing ODS_RiskPC tables,AAA-5060,208490,Development,AAA,AAA,Very High,Martin,,,Coding
Stab3_PC_CU_NewSubmission - Business Unit field default to Error,XXX-32732,208487,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1 - Bldg # not correct or duplicate in COP RIsks screen,XXX-32726,208478,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Stab3_PC_CU_NewSubmission - Getting error on adding underlying WC policy ,XXX-32725,208477,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab3_Rating_Commercial Package_Reinstatement & Cancellation_Extra slice is created for Manuscript premium in Quote screen during Reinstatement. Also Prorated in Rate worksheet when Manuscript Flat Charge=Yes during Cancellation,XXX-32714,208464,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab3_Rating_General Liability-Manuscript-Extra slice is created for Manuscript premium during Reinstatement,XXX-32713,208461,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
3.1 P&C | ODS Risk PC Table - GL - Incorrect records loaded with UARType = 'N/A',AAA-5058,208460,Done,AAA,AAA,Medium,Williams,,,Coding
Stab3_Rating_Commercial Umbrella-Manuscript-Extra slice is created for Manuscript premium during Reinstatement,XXX-32712,208459,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
BC QA06env_CIM Collateral Unapplied fund of Invoice stream1 is getting applied to diff invoice stream Invoice,XXX-32711,208458,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
Stab3_PC_Common_NB- Document is coming blank for all P&C lines,XXX-32710,208457,Done,XXX,ANIC P&C Migration,Critical,Martin,PolicyCenter,,Coding
PROD|GWPC had RI failure from landing to stage|07/12,BBB-7851,208456,Done,BBB,EDW Production Operations,Medium,David,,,Coding
Stab3_PC_CP_PolicyChange & Rewrite_Forms_CP 1139 CP 03 24 form not triggered,XXX-32707,208453,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
"Stab3_Rating_Commercial Package(Crime)_New Business_UW Company for CompanyDeviationFactor in Rateworksheet is always ""XYC Crop Casualty Insurance Company"" irrespective of UW Company selected in Quote Screen",XXX-32706,208452,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
LTI - Distribution Manifest displays incorrect address for Producer cc: recipient - mail sent to incorrect address,EEE-1702,208444,To Do,EEE,PolicyCenter,High,Williams,PolicyCenter,,Coding
UAT1 | Inland Marine Coverage Terms have not been mapped to the payload,XXX-32705,208442,In UAT,XXX,ANIC P&C Migration,Critical,David,Forms Mapping,,Coding
Update Mapping of 530 for ID PPI Payments to report as 030 on PY report,CC-5227,208439,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
UAT1 | GL 1043 CP is inferring to the Umbrella but the form's schedule is not,XXX-32702,208438,In UAT,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Add new States KS and MO to EDI Reporting,CC-5226,208437,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
System opened Non-Payment Delinquency in error,ZZZ-1270,208432,To Do,ZZZ,BillingCenter,Medium,Williams,BillingCenter,,Coding
Default FROI 02 Change Data Element/Segment Number (DN0412) to 0270 Employee ID Type Qualifier,CC-5225,208431,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
Update EDI Logic to Compare Initial Last Day Worked date with Initial Date Disability Began dates,CC-5224,208428,In Dev,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
UAT1 | GL 1082 CP should not be attaching for Oregon,XXX-32701,208426,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
UAT1 - CU 1184 CP 03 24 - Form # Update,XXX-32695,208414,Done,XXX,ANIC P&C Migration,Medium,John,PolicyCenter,,Coding
Stab3_PC_CU_NewSubmission - Expiration Date field should be a read only field when the Term type is Annual,XXX-32610,208327,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Environment
Stab3_PC_CU_Exclusion - validation error should come for mandatory cov terms,XXX-32609,208326,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
CLONE - Stab3_PC_CU_Exclusion - Additional coverages should be in alphabetical order,XXX-32608,208324,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_PC_CU_Exclusion - Cover term - Schedule Number is missing for below coverages,XXX-32607,208323,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
POL0047 - Subscription Update Request,BBB-7850,208322,Done,BBB,EDW Production Operations,High,David,,,Coding
BC Req defect_QA06env_ Collateral Expiration date should be the Payment date under Collateral screen,XXX-32606,208321,Requirements,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
BC QA06env_IM-Builders Risk integ issues,XXX-32605,208320,Done,XXX,ANIC P&C Migration,High,Peter,BillingCenter,,Coding
LTI - Application Error received when trying to rerate a 9/7 renewal in Pricing Tools ,EEE-1700,208318,Requirements,EEE,PolicyCenter,Critical,Peter,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_New Submission_IL_UW Company is reset to None in the pricing tool screen.,XXX-32604,208317,Done,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
Stab3_PC_CP_Rewrite to New Acocunt_Unable to move cancelled policy from one account to another account,XXX-32591,208288,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3_PC_GL - Subline codes are not available for TX state,XXX-32590,208286,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
UAT1 - Form IM 7088 07 20 Windstorm Deductible is not applicable to MN,XXX-32585,208279,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Prod| GL Paid Loss - 24 records errored out on 07/11,BBB-7848,208277,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
DataFix - AL -  NON CPIC issuancecompany NCCIStandardEarnedPremiumatDSRLevel is incorrect,BBB-7846,208274,Development,BBB,EDW Production Operations,Very High,Andrea,,,Coding
Stab3_Rating_Commercial Auto_New Submission_ State Manuscript routine is not triggered,XXX-32583,208273,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
Stab3_Integ_Prometrix-CPPCP- The order PPC value  for nonprometrix states displays as Yes when bulk  locations imported. ,XXX-32582,208272,Done,XXX,ANIC P&C Migration,Medium,Martin,Integrations,,Coding
"Auto & GL : Liability deductible is not getting defaulted to ""No Deductible"" & hidden from UI  when We are selecting rate mod as ""Large deductible"" or ""Large Deductible or Retro"" for Auto & GL.",XXX-32581,208271,Done,XXX,ANIC P&C Migration,Critical,Williams,PolicyCenter,,Coding
Stab3_Integ_Prometrix-CPPCP- Navigating from a location screen to another screen and returning to the location screen prometrix integration was called  when bulk  locations imported. ,XXX-32580,208269,Done,XXX,ANIC P&C Migration,Medium,Martin,Integrations,,Coding
Stab3-XXX-31550_CPP_CP+Crime +GL_AZ (All location)-- NAICS values will be prefilled from Experian (Button is on Policy Info)-not workingQA5/QA6,XXX-32579,208268,Done,XXX,ANIC P&C Migration,High,Martin,Integrations,,Environment
GW Ticket # - GW#0078xx36 Commercial Property : Additional covered property on the blanket and its missing validation ,XXX-32578,208263,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
GWCC STTM output ClaimantcontactsreleatedContacts is taking more than 20 min on Prod,BBB-7845,208262,Ready For Test,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab3_Rating_Commercial Package_New Business_Mismatch between Term Amount and Premium in Quote Screen for General Liability Exposures,XXX-32577,208261,In Dev,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
GW Ticket : GW#00789932  Comm Prop: location has CP 10 28 or CP 10 40 EQ form with General blanket and EQ cause of loss coverage = yes then on Quote screen wrong display of Earthquake blanket,XXX-32574,208251,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
" Stab3_Rating_Commercial Auto_New Business_UW Company ""XYC Crop Premier Insurance Company"" the Company Deviation Factor in Rate worksheet pointing to 0 instead of -0.20",XXX-32573,208250,In Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab 3_PC_GL_ - Manually generated Policy Number which is generated through Generate Policy Number button is not getting copied to copied submission,XXX-32572,208248,Cancelled,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab3_Digital_CE - Claim Filter is not dynamic and contain duplicate LOB list dropdown.,XXX-32571,208247,Done,XXX,ANIC P&C Migration,High,Williams,Digital,,Coding
Stab 3_PC_GL_ - Form IL 11 46 CP Identity Recovery Coverage is not getting inferred during New Submission but is getting inferred during Renewal even when Identity Recovery coverage is not added in both of the transactions,XXX-32570,208246,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_XXX-31547_PC_CPP_Property Coverage Enhancement Applies?&Hospitality Applies? at Policy Change not retained from NBAND nb ALso not retained once quote and edit the policy,XXX-32569,208244,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
AL Premium Load GWPC Daily | Balance Failure | 7/11/20204 |EDWSVWSQ031\STGPRIM |ANIC 2.2 ,DDD-5808,208243,Development,DDD,EDW QA COE,High,John,,,Coding
Stab3_PC_MEL_NB- Maritime Employers Liability Insurance Policy default value is not correct - MT state,XXX-32568,208241,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab 3_PC_GL_ - Renewal- Underwriting Company is not getting carry forwarded from previous txn and is getting defaulted to Alaska National Insurance Company ,XXX-32567,208240,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_PC_MEL_Renewal- renewal status is not changing to not taken at R-30 days - MT state,XXX-32566,208239,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Not a Defect
"Stab 3_PC_GL_ - Renewal- Auto Renew indicator is set to Auto Renew while as per the requirements it should be ""Manually Renewed"" for P&C lines",XXX-32565,208238,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab 3_PC_GL_ - New Submission-Form IL 543 CP  Named Insured Endorsement is not getting inferred. Form is also not present in form inference sheet in any of the tabs. It is getting inferred during Renewal,XXX-32564,208237,Cancelled,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
Stab 3_PC_GL_ - New SUbmission-Form IL 1215 CP Cancellation Or Non-Renew Broad Notice To Certificate Holders is not getting inferred. Form is also not present in form inference sheet in any of the tabs. It is getting inferred during Renewal,XXX-32563,208236,Cancelled,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Prod| GWCC - Duplicate records in wcclaimant and claimsourcecontrolamounts on 07/11,BBB-7844,208235,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab 3_PC_GL_ - Credit score is not getting  generated upon clicking Order Experian Data button,XXX-32562,208230,Done,XXX,ANIC P&C Migration,High,David,Integrations,,Environment
Stab3_PC_CPP_NewSubmission_Print Quote_getting error & click on OK,XXX-32561,208229,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Risk PC Table - GARAGE - Records got dropped,AAA-5050,208228,Done,AAA,AAA,Medium,Williams,,,Coding
Stab 3_PC_GL_ - Rewrite New Account- Check Audit and Service Audit are not getting displayed,XXX-32560,208227,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab 3_PC_GL_ - Rewrite New Account- Invoice streams are not coming during Rewrite New Account,XXX-32559,208226,Cancelled,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab 3_PC_GL_ - Form IL 1143 CP Extended Notice Of Cancellation is not getting inferred. Form is also not present in form inference sheet in any of the tabs ,XXX-32558,208225,Cancelled,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_ - UWI - Occurrence or Aggregate limit exceeds authority limit for Premises and Operations is not getting triggered even when triggering condition is fulfilled ,XXX-32557,208224,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_ - Page validation when no location matches the base state on locations screen is not getting triggered ,XXX-32556,208223,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab 3_PC_GL_ - Reinstatement: Reinstatement related document PC-019 : Reinstatement Letter is not getting triggered under the Documents,XXX-32555,208222,Cancelled,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab 3_PC_GL_ - Cancellation: Cancellation related documents PC-001 Notice of Cancellation PC-013 Confirmation are not getting triggered under the Documents,XXX-32554,208221,Cancelled,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
"Stab 3_PC_GL_ - There are no cov terms in ""Logging and Lumbering Operations Broad Form Liability Coverage"" under Additional Coverages on General Liability screen",XXX-32553,208218,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab 3_PC_GL_ - UWI - Occurrence or Aggregate limit exceeds authority limit for Liquor is not getting triggered even when triggering condition is fulfilled (Aggregate Limit>5000000 ),XXX-32552,208217,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
Stab3_CC_CA_Type of loss_Getting Type of Loss error message while updating the vehicle incident with PC data.,XXX-32551,208216,In Dev,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Coding
[GW ticket 00793980] Stab 3_PC_GL_ - Policy Change- When a location is removed during Policy Change then  'null' is appearing at multiple places in Differences tab corresponding to the removed location,XXX-32550,208215,Blocked,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
ODS_Account INTSEC - Observation around AccountName column | Older AccountNames are getting populated along with the latest Accountname for a single account. ,BBB-7972,208214,Analysis,BBB,EDW Production Operations,Medium,Williams,,,Coding
ODS_AccountOrganizationCoding INTSEC - Columns OrganizationCodingLevel1OrganizationCodingLevel2OrganizationCodingLevel3 are getting populated with NULL values.,BBB-7971,208213,Analysis,BBB,EDW Production Operations,Medium,Williams,,,Coding
Invalid quote error when attempting to amend the Broker of Service Mid Term,EEE-1691,208212,To Do,EEE,PolicyCenter,High,Williams,PolicyCenter,,Coding
DIM_DerivedClaimType - 2 Records For Same Claim With RecordEndDate = 2999-12-31,BBB-7843,208211,Invalid/Duplicate,BBB,EDW Production Operations,High,Williams,,,Coding
UAT1 - IM 7055 09 20 - Fire Department Service Charge does not apply to Arizona,XXX-32549,208210,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
PE: Submissions STP failing for Edited WCIRB RED when system changed RED,GGG-1349,208197,In Dev,GGG,GW Cloud Digital,High,Williams,,,Coding
UAT1 - IL 01 21 AK Changes - Attorney's Fees,XXX-32538,208196,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
CP DWH - Exclude Deleted Records to Improve Quality of Data that Uses GWPC as a Source,BBB-7841,208195,Selected for Development,BBB,EDW Production Operations,Medium,John,,,Coding
WCPOLS - Logic Updates and Exclude Deleted Records,BBB-7840,208194,Done,BBB,EDW Production Operations,Medium,John,,,Coding
UAT1 - Spelling correction for form IM 7088 - Windstorm Deductible Spelling correction: Form IM 7073 Contract Penalty Endt,XXX-32537,208193,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
[DbDrop] QA5/UAT1 - Scheduled Items are getting re-sequenced during policy change when we remove any one of the existing schedule item.. ,XXX-32536,208191,Blocked,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
PE: Submissions Submissions that Originated in PC are showing in PE,GGG-1348,208189,To Do,GGG,GW Cloud Digital,Medium,Williams,,,Coding
Stab3_PC_CP_NewSubmisison_Blank Quote packet generated,XXX-32535,208188,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
[Request ID :##RE-203140##] : Re: [Request ID :##RE-139926##] : Nexus Feed - Argonaut Audit Claims Location,BBB-7838,208187,Done,BBB,EDW Production Operations,Medium,David,,,Coding
ENOCEndt activity code is not generating activity as expected ,ZZZ-1258,208182,To Do,ZZZ,BillingCenter,High,Williams,,,Coding
UAT1 - cannot generate payload due to an application error occurred,XXX-32534,208181,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_Rating_Commercial Auto_Cancellation_During Cancellation Pro ration is happened in the routine when Flat charge is  Yes and Proration is happened in Quote screen when Flat charge is No,XXX-32533,208179,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab 2_CC_ALL_Subrogation_Subrogation statute deadline activity due date is not correct,XXX-32532,208178,Ready for QA,XXX,ANIC P&C Migration,High,Peter,ClaimCenter,,Coding
QA : ODS-RiskProperty : Data mismatches in Column ConstructionCode in ODS-RiskProperty table,AAA-5043,208177,Done,AAA,AAA,Medium,Peter,,,Coding
COP - CO 1246 Cannabis Property Exclusion,XXX-32531,208170,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Prod| GWCC- Duplicate records in Claimsourcecontrolamounts table 07/10,BBB-7837,208169,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
3.1 P&C | ODS Risk Auto Table - Records got dropped,AAA-5038,208165,Done,AAA,AAA,Medium,Williams,,,Coding
ODS_RiskInland_Extra records and missing records from target,AAA-5037,208162,Done,AAA,AAA,Medium,Martin,Stage to AAA,,Coding
ODS_Risk_PC_IM_More records are being loaded to target which should not be included.,AAA-5036,208161,Done,AAA,AAA,Medium,Martin,Stage to AAA,,Coding
Change Logic on LossErrorValidation SP to handle Missing Loss Coverage record,BBB-7836,208157,Done,BBB,EDW Production Operations,Medium,Martin,,,Coding
ODS_Risk PC_IM_Records missing from target for lineofinsurance = 'IM',AAA-5035,208156,Done,AAA,AAA,Medium,Martin,Stage to AAA,,Coding
Stab3_Digital_PE-Dashboard Tab- Table columns are displayed incorrectly,XXX-32530,208152,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Coding
QA : ODS-RiskProperty : Records missing in ODS-RiskProperty table,AAA-5032,208151,Done,AAA,AAA,Medium,Peter,,,Coding
Stab3_Rating_Commercial Output_Reinstatement_Extra slice is created for Manuscript premium while performing reinstatement transaction,XXX-32529,208150,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
Stab3_Digital_PE-New Submission search is throwing error message even when data is displayed,XXX-32528,208149,Done,XXX,ANIC P&C Migration,High,Williams,Digital,,Coding
Stab3_Rating_Commercial Auto_Policy change_In the Manuscript routine CurrentTransaction is displayed as Submission when we perform Mid Term Policy change,XXX-32527,208144,Ready for QA,XXX,ANIC P&C Migration,Low,Williams,Rating,,Coding
Stab3_Digital_PE-New Submission Verbiage is missing ,XXX-32526,208141,Done,XXX,ANIC P&C Migration,Medium,Williams,Digital,,Coding
Stab3_Rating_Commercial Auto_Reinstatement_Getting Application Error while click on Quote button,XXX-32525,208140,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab 3_BC MEL_Require Final Audit field value under Policy Details Screen is getting changed for Final Audit transaction,XXX-32524,208139,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
Stab3_Rating_Commercial Auto_Policy change_Vehicle Manuscript premium is displayed twice in the Quote screen,XXX-32523,208137,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3_PC_MEL_NewSubmission Minimum Premium cov term - description is not correct and it should be mandatory- AK state,XXX-32521,208135,Done,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
[DB Drop] COP - Vehicle Coverage - CO 1064_DB DROP,XXX-32520,208129,Blocked,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
3.1 P&C | ODS Risk Auto Table - Same VIN Number tagged for Multiple VehicleNo for a PolicyNumber PolicyEffectiveDate and PolicySourceSystemCode,AAA-5031,208098,Deferred,AAA,AAA,Low,Martin,,,Coding
COP - Windstorm or Hail - Exterior Paint And Waterproofing Exclusion,XXX-32519,208097,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
"Stab3_PC Config: For CA7 Business Auto Hired Auto Truckers Liability Limit should be defaulted to Policy Level Liability Limit if coverage type changed from ""No Coverage"" but its defaulting to ‘500000’ instead.",XXX-32518,208096,Done,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab 3__XXX-31547 & XXX-31548_Building ID Number at policy change (mid-term)increment to 2 has in NB building id is 1,XXX-32517,208095,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
3.1 P&C | ODS RiskAuto - Wrong RiskPCId Populated for Auto Veh Policies,AAA-5030,208094,Done,AAA,AAA,Medium,Williams,,,Coding
"Stab3_PC Config_Manuscripts for All LOBs: Changing the defect to ""Reason for Form"" field should not be mandatory for all LoB",XXX-32516,208093,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Requirements
CDA PROD | No jobs started at Databricks from Ansible due to Invalid access token | 07/09,BBB-7833,208092,Done,BBB,EDW Production Operations,Critical,Williams,,,Coding
Stab 3__XXX-31548_CPP_Policychange _ using Import/Export WA location Delete _is not getting removed from location screen in GLand CP we removed from location screen.,XXX-32515,208091,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_PC Config_CA7 Manuscripts: Added Line Level Manuscript Schedules aren’t getting retained on Click of Next. Its getting removed automatically,XXX-32514,208090,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
"Stab 3__XXX-31547_CPP_Logging and Lumbering Operations Broad Form Liability Coverage_cover term not disaplyed
",XXX-32513,208089,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
UAT1 - Form IM 7055 08 20 Schedule of Coverages Building Risk Comprehensive Form should be in CA,XXX-32510,208081,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
LTI - Print Quote & Bind Options buttons missing/disabled for submissions eff 8/1/2024 and later,EEE-1684,208079,Ready for Dev,EEE,PolicyCenter,High,Peter,PolicyCenter,,Coding
3.1 P&C | ODS - Fix ODS_Policy Attribution Mapping,AAA-5028,208074,New Item,AAA,AAA,High,Martin,,,Coding
System Slowness when Audit adds notes to Paygo Policies,EEE-1683,208071,Cancelled,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
Onset/Offset Issue - Claim PC000xx31 & PC000xx28 Have Financials In 2 Accident Years In SL,BBB-7832,208069,Invalid/Duplicate,BBB,EDW Production Operations,High,Williams,,,Coding
UAT1 - Umbrella - Several Validation Errors Regarding Underlying Forms,XXX-32503,208063,To Do,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Refresh Global Type List from GW,BBB-7831,208057,Done,BBB,EDW Production Operations,High,Martin,,,Coding
UAT1 - Duplicate VIN Validation for Auto,XXX-32497,208055,Cancelled,XXX,ANIC P&C Migration,Very High,John,PolicyCenter,,Coding
UAT1 - CU-506 03 24 - Turn Form Inference Off,XXX-32496,208054,To Do,XXX,ANIC P&C Migration,Medium,John,PolicyCenter,,Coding
CP DWH - stg_d_claimant_N failed because GENDER is not long enough in STG_D_CLAIMANT_N or D_CLAIMANT tables.,BBB-7830,208046,Done,BBB,EDW Production Operations,Medium,Martin,Data Model,,Coding
Data Fix - Earned Financials - Policy 1001565 Eff Dt 2023-07-01 Needs Transaction 1250,BBB-7829,208045,Done,BBB,EDW Production Operations,High,David,,,Coding
Stab 3_XXX-31547_PC_CPP_CP00xxx12 Business Income (Without Extra Expense) & CP0xxx1012 Extra Expense Coverage Form & CB 1286 CP Alaska Rule of Civil Procedure 82 Notice B CB 1225 CP Supplemental Extended Reporting Period Endorsement-form not  triggered,XXX-32495,208043,Done,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab 3_BC MEL_ Charges under policy level charges screen & Invoice screen are not in sync for reporting Pay Plan,XXX-32490,207958,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
ODS_RiskPC_PD INTSEC- UARNumber and UARType are not populated as expected for CR LineOfBusiness. ,AAA-5022,207945,Done,AAA,AAA,Medium,Williams,,,Coding
Stab 3_XXX-31547_PC_CPP_Earthquake And Volcanic Eruption Coverage With Percentage Deductible_coverage term not dispalyed,XXX-32478,207937,Cancelled,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Not a Defect
Stab 3_CC_AllLoBs_Error message not displayed when user enter TaxID(SSN) with all same digits,XXX-32477,207935,Ready for QA,XXX,ANIC P&C Migration,Medium,Williams,ClaimCenter,,Coding
3.1 P&C | ODS Risk PC Table - GL - Records loaded with UARType = 0000 and UARNumber = 00000,AAA-5021,207934,Done,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS Risk PC Table - PR - Incorrect records loaded with UARType = 'N/A' ,AAA-5020,207932,Done,AAA,AAA,Medium,Williams,,,Coding
3.1 P&C | ODS Risk PC Table - PR - The values for the column UARNumber are Incorrectly populated,AAA-5019,207931,Done,AAA,AAA,Medium,Williams,,,Coding
CP_FL INSURANCE PREMIUM SURCHARGE change from 4 to 0.04,XXX-32476,207923,Done,XXX,ANIC P&C Migration,Very High,Williams,Rating,,Coding
3.1 P&C | ODS Risk PC Table - Additional Records are loaded,AAA-5018,207922,Done,AAA,AAA,Medium,Williams,,,Coding
Stab 3_PC _ GLMELCAIM_ Interim Audit Premium is not displaying under Policy transactions screen,XXX-32475,207921,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
IM-Policy - Getting invalid quote when trying to change the override yes to No during policy change,XXX-32471,207915,Done,XXX,ANIC P&C Migration,Very High,Peter,IM-Rating,,Not a Defect
Change the following coverage from offered to Not Offered for CP,XXX-32464,207902,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
CDA PROD | 6 PM GWBC_Bronze Job got failed with Can't open lib 'ODBC Driver 17 for SQL Server' : file not found (0) (SQLDriverConnect),BBB-7823,207900,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab3_Integ_Prometrix-CPCPP-Prometrix integration was not called for all existing location when perform the renewal transaction.,XXX-32428,207888,Done,XXX,ANIC P&C Migration,High,Martin,Integrations,,Coding
Stab3_Integ_Prometrix-CPPCP- Prometrix integration was not called when udated the county value.,XXX-32427,207887,Done,XXX,ANIC P&C Migration,Medium,Martin,Integrations,,Coding
